floor,unitNo,name,phone,,,,,,,,,,,,,,,,,,,,,,,
1,#01-00,STARBUCKS COFFEE SINGAPORE PTE LTD,"65137500,65137530",,,,,,,,,,,,,,,,,,,,,,,
2,#02-01,GAINALL PTE LTD,63929881,,,,,,,,,,,,,,,,,,,,,,,
2,#02-01B,TAN YEN PING EUGENIA (COMMUNIKIDZ THERAPY,81891636,,,,,,,,,,,,,,,,,,,,,,,
2,#02-01A/02,AMMPED FITNESS PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
3,#03-01/02,AECOM SINGAPORE PTE LTD,62992466,,,,,,,,,,,,,,,,,,,,,,,
4,"#04-01
#04-01A/01B
#04-02",WSP CONSULTANCY PTE LTD,65337333,,,,,,,,,,,,,,,,,,,,,,,
5,"#05-01/02
#11-01/04",WSP CONSULTANCYPTE LTD,62900640,,,,,,,,,,,,,,,,,,,,,,,
9,#09-01/05,EXPEDITORS SINGAPORE PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
9,#09-06/07,STRATUS TECHNOLOGIES (SINGAPORE) PTE LTD,63492300,,,,,,,,,,,,,,,,,,,,,,,
10,#10-01,PRAXIS ENERGY AGENTS PTE LTD,64033500,,,,,,,,,,,,,,,,,,,,,,,
10,#10-02,HOTEL CONNECT PTE LTD,62927429,,,,,,,,,,,,,,,,,,,,,,,
10,#10-03,COMPLEX DEPT/STORE,,,,,,,,,,,,,,,,,,,,,,,,
10,#10-04,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
10,#10-05,COMPLEX DEPT/STORE,,,,,,,,,,,,,,,,,,,,,,,,
10,#10-06,HAMBURG SUD SINGAPORE PTE LTD,"64159071,64159070",,,,,,,,,,,,,,,,,,,,,,,
10,#10-07,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
10,#10 Foyer,THE CONCOURSE Management Office,,,,,,,,,,,,,,,,,,,,,,,,
11,#11-01/04 & #11-07,WSP CONSULTANCYPTE LTD,"62901417,62901314",,,,,,,,,,,,,,,,,,,,,,,
11,#11-05/06,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
12,#12-01/02,SIME DARBY INSURANCE BROKERS (S) PTE LTD,"63099723,62222244",,,,,,,,,,,,,,,,,,,,,,,
12,#12-03/04,R.S SOLOMON LLC,,,,,,,,,,,,,,,,,,,,,,,,
12,"#12-05
#12-06/06A",JOHN SWIRE & SONS (SE ASIA) PTE LTD,"65710357,66039426,66039436",,,,,,,,,,,,,,,,,,,,,,,
12,#12-07,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
12,#12 Foyer,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
13,#13-01,INCE HOLDINGS (SINGAPORE) PTE LTD,67182070,,,,,,,,,,,,,,,,,,,,,,,
13,#13-02/04,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
13,#13-05,DEKS AIR TRAVEL & TOURS PTE LTD,63387764,,,,,,,,,,,,,,,,,,,,,,,
13,#13-05A,DEKS AIR (S) PTE LTD,63388180,,,,,,,,,,,,,,,,,,,,,,,
13,#13-06,SMALL LUXURY HOTELS OF THE WORLD MANAGEMENT PTE LTD,66327288,,,,,,,,,,,,,,,,,,,,,,,
13,#13-07,NORTHLAND CONTROLS PTE LTD,63276149,,,,,,,,,,,,,,,,,,,,,,,
13,#13-07,NORTHLAND CONTROLS PTE LTD,63276149,,,,,,,,,,,,,,,,,,,,,,,
13,#13-08,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
14,#14-01,PREMIERE CONFERENCING PTE LTD,65384111,,,,,,,,,,,,,,,,,,,,,,,
14,#14-02,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
14,#14-03,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
14,#14-03A,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
14,#14-04/06,AMICULUM SINGAPORE PTE LTD Approx,68120440,,,,,,,,,,,,,,,,,,,,,,,
14,#14-07,AGILITY RESEARCH & STRATEGY PTE LTD,63966832,,,,,,,,,,,,,,,,,,,,,,,
14,#14Foyer,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
15,"#15-01/07
#16-01/05 & FOYER",SWIRE PACIFIC OFFSHORE OPERATIONS PTE LTD,63093606,,,,,,,,,,,,,,,,,,,,,,,
16,#16-06/07,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
17,#17-01/03,ANTALIS ASIA PACIFIC PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
17,#17-04/07,LONPAC INSURANCE BHD,62507388,,,,,,,,,,,,,,,,,,,,,,,
18,#18-01 & FOYER,KENWOOD APPLIANCES (S) PTE LTD,"67490989

62970043",,,,,,,,,,,,,,,,,,,,,,,
18,#18-02,VUNITED ASIA ENTERTAINMENT PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
18,#18-02A,KTM SPORTMOTORCYCLE SINGAPORE PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
18,#18-03/04,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
18,#18-05,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
18,#18-06,BOMAG GMBH,62941277,,,,,,,,,,,,,,,,,,,,,,,
18,#18-07,CNOOC ENERTECH INTERNATIONAL (S) PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
19,#19-01 & 07,HITACHI DATA SYSTEMS PTE LIMITED,68085010,,,,,,,,,,,,,,,,,,,,,,,
20,#20-01,FORTINET SINGAPORE PTE LTD,65133730,,,,,,,,,,,,,,,,,,,,,,,
20,#20-02,FORTINET SINGAPORE PTE LTD,65133730,,,,,,,,,,,,,,,,,,,,,,,
20,#20-03/04,,,,,,,,,,,,,,,,,,,,,,,,,
20,#20-05,,,,,,,,,,,,,,,,,,,,,,,,,
20,#20-06/07& FOYER,FORTINET SINGAPORE PTE LTD,65133730,,,,,,,,,,,,,,,,,,,,,,,
21,#21-01 & 07,BOEHRINGER INGELHEIM (S) PTE LTD,64192965,,,,,,,,,,,,,,,,,,,,,,,
21,#21-02,PARSONS BRINCKERHOFF PTE LTD,"62901417
62901314",,,,,,,,,,,,,,,,,,,,,,,
21,#21-03/06,ACI WORLDWIDE (ASIA) PTE LTD,"66711603,603-77191717",,,,,,,,,,,,,,,,,,,,,,,
22,#22-01/02,DS GLOBAL MARKETING PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
22,#22-03/04,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
22,#22 STY FOYER,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
22,#22-05/07,GEORGE P.JOHNSON (SINGAPORE) PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
23,#23-01/07,AECOM SINGAPORE PTE LTD,65802778,,,,,,,,,,,,,,,,,,,,,,,
24,#24-01/07,AECOM SINGAPORE PTE LTD,65802778,,,,,,,,,,,,,,,,,,,,,,,
25,#25-01/02,KHS ASIA PTE LTD,65609313,,,,,,,,,,,,,,,,,,,,,,,
25,#25-03,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
25,#25-04/05,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
25,#25-06,HUAYANG (SINGAPORE) SHIPPING PTE LTD,63919818,,,,,,,,,,,,,,,,,,,,,,,
25,#25-07,GHELLA SINGAPORE BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
25,#25-08,BUSINESS SOFTWARE ALLIANCE INC,62922072,,,,,,,,,,,,,,,,,,,,,,,
26,#26-01 to 06,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
26,#26-07,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
26,"#26-08
(FOYER)",VACANT,,,,,,,,,,,,,,,,,,,,,,,,
27,#27-01/07,THE CHINA NAVIGATION CO PTE LTD,"66039400,66039514",,,,,,,,,,,,,,,,,,,,,,,
28,#28-01/07 & FOYER,THE CHINA NAVIGATION CO PTE LTD,"66039400,66039514",,,,,,,,,,,,,,,,,,,,,,,
29,#29-01,SINGAPORE MYANMAR INVESTCO LIMITED,67186677,,,,,,,,,,,,,,,,,,,,,,,
29,#29-02,KYLIN OFFSHORE ENGINEERING PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
29,#29-03,CPP ASIA PACIFIC PTE LTD,63966335,,,,,,,,,,,,,,,,,,,,,,,
29,#29-03A,LANDESK SOFTWARE (S) PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
29,#29-04,JACHIN CAPITAL PTELTD,62910265,,,,,,,,,,,,,,,,,,,,,,,
29,#29-05,DK SHIP CHARTERING (S) PTE LTD,65570454,,,,,,,,,,,,,,,,,,,,,,,
29,#29-05A,HANKOOK ENGINEERING PTELTD,62954787,,,,,,,,,,,,,,,,,,,,,,,
29,#29-06,CHINA HARBOUR (SINGAPORE) ENGINEERING COMPANY PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
29,#29-07,PINNACLE GROUP OF COMPANIES PTE LTD,63960158,,,,,,,,,,,,,,,,,,,,,,,
30,#30-01 to 05,BGRS GLOBAL SINGAPORE PTE LTD,65350010,,,,,,,,,,,,,,,,,,,,,,,
30,#30-06,MSC SOFTWARE (S) PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
30,#30-07& FOYER,RH INTERNATIONAL PTE LTD,63968111,,,,,,,,,,,,,,,,,,,,,,,
31,"#31-01/02&
#31-06/06A",SYNOPSYS (SINGAPORE) PTE LTD,"63937112,62967433",,,,,,,,,,,,,,,,,,,,,,,
31,#31-03,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
31,#31-03 (Part of),ELLA CHEONG LLC,66925500,,,,,,,,,,,,,,,,,,,,,,,
31,#31-04/05,ELLA CHEONG LLC,66925500,,,,,,,,,,,,,,,,,,,,,,,
31,#31-07,AIRCLAIMS SERVICES ASIA PTE LTD,64812177,,,,,,,,,,,,,,,,,,,,,,,
32,#32-01/02,BACHY SOLETANCHE SINGAPORE PTE LTD,64433131,,,,,,,,,,,,,,,,,,,,,,,
32,#32-03/03A/04,DUALOG SINGAPORE PTE LTD,62229233,,,,,,,,,,,,,,,,,,,,,,,
32,#32-05,YUZEN SUSTAINABLE ENERGY PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
32,#32-06,DSN TRADING LINKS PTE LTD,"63330405
63330406",,,,,,,,,,,,,,,,,,,,,,,
32,#32-07,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
32,#32-08 (FOYER),IPL PTE LTD,62248219,,,,,,,,,,,,,,,,,,,,,,,
33,#33-01,WILSON PARKING (SINGAPORE) PTE LTD,64115532,,,,,,,,,,,,,,,,,,,,,,,
33,#33-02/03,TERUMO ASIA HOLDINGS PTE LTD,62913603,,,,,,,,,,,,,,,,,,,,,,,
33,#33-04/06,TERUMO SINGAPORE PTE LTD,62913603,,,,,,,,,,,,,,,,,,,,,,,
33,#33-07,DIA BRANDS CONSULTANTS PTE LTD,67353696,,,,,,,,,,,,,,,,,,,,,,,
34,#34-01,BCI ASIA CONSTRUCTION INFORMATION PTE LTD,"65386836
65367197",,,,,,,,,,,,,,,,,,,,,,,
34,#34-02,INSPAN PTE LTD,62951357,,,,,,,,,,,,,,,,,,,,,,,
34,#34-03/04,CSL BEHRING PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
34,#34-04A,CHINA HARBOUR (SINGAPORE) ENGINEERING COMPANY PTE LTD,63928301,,,,,,,,,,,,,,,,,,,,,,,
34,#34-05,CHINA HARBOUR (SINGAPORE) ENGINEERING COMPANY PTE LTD,63928301,,,,,,,,,,,,,,,,,,,,,,,
34,#34-06,HENGBAO INTERNATIONAL PTE LTD,62988348,,,,,,,,,,,,,,,,,,,,,,,
34,#34-07,OC TANNER SINGAPORE PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
34,#34TH FOYER,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
35,#35-01/04,BOEHRINGER INGELHEIM (S) PTE LTD,64192965,,,,,,,,,,,,,,,,,,,,,,,
35,#35-05,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
35,#35-06/07,CHINA OVERSEAS ENERGY HOLDING PTE LTD,,,,,,,,,,,,,,,,,,,,,,,,
36,#36-01,VENICE FINANCIAL SERVICES PTE LTD,62927077,,,,,,,,,,,,,,,,,,,,,,,
36,#36-02,AMICULUM (SINGAPORE) PTE LTD,68120440,,,,,,,,,,,,,,,,,,,,,,,
36,#36-03/05,CO WORKING SPACE,,,,,,,,,,,,,,,,,,,,,,,,
36,#36-06,HELM ASIA PTE LTD,67186975,,,,,,,,,,,,,,,,,,,,,,,
36,#36-05 (PART OF),HELM ASIA PTE LTD,67186975,,,,,,,,,,,,,,,,,,,,,,,
37,#37-01/06,BOEHRINGER INGELHEIM (S) PTE LTD,"64198652,63918150,64198645,64198657",,,,,,,,,,,,,,,,,,,,,,,
38,#38-01,BOEHRINGER INGELHEIM (S) PTE LTD,"64198652,63918150,64198645,64198657",,,,,,,,,,,,,,,,,,,,,,,
38,"#38-02/04
#38-05","BOEHRINGER INGELHEIM (S) PTE LTD
Refer to #37-01/07","64198652,64198600,64198652",,,,,,,,,,,,,,,,,,,,,,,
39,#39-01 to 04,AECOM SINGAPORE PTE LTD,"62992466,65802778",,,,,,,,,,,,,,,,,,,,,,,
40,#40-01/01A,ACETO PTE LTD,62960800,,,,,,,,,,,,,,,,,,,,,,,
40,#40-02,VACANT,,,,,,,,,,,,,,,,,,,,,,,,
41,#41-01/02,HONG FOK CORPORATION LIMITED,,,,,,,,,,,,,,,,,,,,,,,,